datum|stufe|titel|anzeit|anort|abzeit|abort|tenu|mit|bes|sign|user|
7.07.2007|stufe2|Sommerlager in Lavin|08.30|Loki, Bahnhof Buchs|16.30|Loki (Sonntag 21.07.07)|PFADIUNIFORM! &amp; Kravatte!|Kleiner Rucksack mit Lunch f&uuml;r die Hinreise|Gep&auml;ckabgabe findet am Freitag um 19.00 Uhr beim Schulhaus Grof statt.<BR>ALLE F&auml;hnlizelte sind mitzubringen! (Auch die der Nicht-Existierenden F&auml;hnlis)|Xenia, Piano, Wichtel, Risus, Tartar, Mogli und Schlingel|schlingel|
14.07.2007|stufe2|Adresse|0000|.|0000|.|||Adresse Lagerplatz:<BR><BR>Name<BR>Vulgo (Pfadiname)<BR>Pfadi Alvier Buchs<BR>Postlagernd<BR>7543 Lavin|Die Leiter|Wotan|
